order_id,product_id,quantity,total_price
1.0,41791.0,3.0,101.43
,90498.0,3.0,1005.69
1.0,5595.0,2.0,755.26
1.0,67489.0,3.0,401.66999999999996
2.0,20473.0,3.0,975.69
2.0,46229.0,1.0,25.84
2.0,106525.0,1.0,185.49
2.0,59576.0,3.0,1245.75
3.0,97240.0,2.0,781.62
3.0,31472.0,2.0,123.42
3.0,146849.0,,391.62
,74491.0,3.0,1491.3000000000002
3.0,10932.0,2.0,333.62
4.0,103591.0,2.0,868.5
4.0,118408.0,2.0,264.44
4.0,97908.0,1.0,176.82
5.0,109710.0,2.0,588.74
5.0,129693.0,3.0,253.53000000000003
5.0,108090.0,2.0,485.3
5.0,141013.0,1.0,149.92
6.0,17339.0,2.0,463.1
6.0,138044.0,1.0,417.33
6.0,25593.0,2.0,541.44
6.0,89777.0,,486.92
7.0,60267.0,1.0,386.94
7.0,99694.0,2.0,270.24
7.0,22637.0,,938.04
7.0,121696.0,3.0,65.16
8.0,97515.0,1.0,362.56
8.0,74427.0,2.0,100.96
8.0,70958.0,1.0,157.38
8.0,30074.0,2.0,817.46
9.0,112587.0,2.0,685.3
9.0,98413.0,3.0,658.47
9.0,127789.0,1.0,194.66
9.0,65348.0,1.0,439.48
,108849.0,,210.93
10.0,,3.0,1205.4
11.0,104815.0,1.0,273.34
11.0,8410.0,2.0,530.88
11.0,124903.0,3.0,1471.1100000000001
12.0,121268.0,1.0,411.31
12.0,134723.0,3.0,594.6899999999999
12.0,98834.0,1.0,331.11
13.0,117048.0,1.0,106.04
13.0,74859.0,,302.39
13.0,80016.0,2.0,455.9
13.0,37228.0,3.0,138.57
14.0,135346.0,3.0,702.03
14.0,46065.0,1.0,292.96
14.0,117687.0,1.0,274.45
,55457.0,2.0,846.16
15.0,57128.0,1.0,52.89
15.0,48676.0,2.0,800.86
16.0,51967.0,2.0,385.22
,138417.0,3.0,555.09
16.0,49134.0,3.0,78.96000000000001
16.0,73012.0,2.0,246.3
17.0,55131.0,2.0,317.76
17.0,87078.0,1.0,433.48
18.0,146735.0,,273.72
18.0,95703.0,2.0,241.08
18.0,113958.0,3.0,215.76
18.0,,3.0,1478.43
19.0,40124.0,3.0,
19.0,130281.0,2.0,
20.0,87314.0,1.0,156.75
,111191.0,1.0,431.34
20.0,89140.0,2.0,316.0
20.0,98552.0,3.0,677.01
20.0,,3.0,1421.73
21.0,74187.0,1.0,101.02
21.0,105250.0,3.0,897.72
22.0,79933.0,2.0,538.54
22.0,13366.0,2.0,208.64
22.0,29719.0,3.0,61.92
22.0,108929.0,3.0,426.09000000000003
22.0,96797.0,2.0,628.4
23.0,87221.0,1.0,95.06
23.0,123658.0,2.0,953.84
23.0,63443.0,1.0,301.32
23.0,14053.0,3.0,1088.76
23.0,86710.0,1.0,439.22
24.0,143431.0,,354.82
24.0,129540.0,1.0,223.82
24.0,122170.0,1.0,58.03
24.0,67295.0,1.0,281.2
25.0,95705.0,2.0,748.6
25.0,26300.0,3.0,318.03000000000003
,37747.0,1.0,185.17
25.0,,1.0,171.04
26.0,17798.0,2.0,895.22
27.0,147148.0,2.0,299.02
27.0,54276.0,2.0,166.92
27.0,104786.0,3.0,666.33
27.0,130049.0,3.0,924.81
28.0,14205.0,3.0,973.4100000000001
,24169.0,3.0,203.31
,60028.0,2.0,591.44
29.0,117686.0,2.0,840.48
29.0,148229.0,,117.69
30.0,117489.0,3.0,453.78
30.0,49028.0,3.0,868.98
30.0,87417.0,2.0,898.5
31.0,84859.0,3.0,1013.01
31.0,66571.0,3.0,874.0500000000001
32.0,117095.0,3.0,1144.3799999999999
32.0,63548.0,1.0,63.88
32.0,95457.0,1.0,486.05
33.0,100049.0,1.0,403.72
33.0,48324.0,1.0,205.94
33.0,104277.0,1.0,427.18
33.0,78002.0,3.0,634.05
34.0,146319.0,2.0,721.08
35.0,78666.0,2.0,934.8
35.0,2807.0,3.0,401.28
35.0,64649.0,3.0,346.11
35.0,137638.0,2.0,153.88
35.0,22591.0,1.0,399.96
36.0,140788.0,2.0,815.34
36.0,139915.0,2.0,724.02
36.0,36594.0,2.0,110.62
36.0,45017.0,2.0,675.14
36.0,20967.0,1.0,235.91
37.0,29329.0,3.0,243.48
37.0,14037.0,1.0,39.08
37.0,131679.0,2.0,877.58
37.0,81566.0,1.0,425.01
37.0,52729.0,3.0,524.37
38.0,,2.0,675.14
38.0,1785.0,3.0,1385.8799999999999
38.0,,2.0,541.36
38.0,81947.0,2.0,769.4
38.0,98394.0,1.0,336.27
,142636.0,2.0,141.3
40.0,4571.0,2.0,925.7
41.0,98146.0,1.0,494.5
41.0,122758.0,1.0,192.61
42.0,135760.0,1.0,473.16
42.0,15707.0,2.0,905.54
42.0,103480.0,2.0,141.7
42.0,59064.0,2.0,294.5
,70573.0,3.0,502.26
43.0,116404.0,3.0,788.5500000000001
44.0,126961.0,1.0,416.57
44.0,91114.0,1.0,261.13
44.0,73873.0,3.0,1179.15
45.0,,2.0,912.42
45.0,53830.0,3.0,1488.6
45.0,130877.0,2.0,444.84
45.0,67641.0,3.0,1264.98
46.0,,3.0,1346.6399999999999
47.0,136104.0,1.0,219.97
48.0,76544.0,2.0,719.16
,50940.0,1.0,436.89
48.0,72944.0,2.0,368.32
48.0,20767.0,1.0,53.39
48.0,109540.0,2.0,361.44
49.0,80085.0,2.0,694.64
50.0,92188.0,1.0,229.22
,23765.0,1.0,76.0
50.0,77151.0,3.0,1024.8600000000001
,,1.0,193.37
50.0,21214.0,2.0,466.98
51.0,138878.0,2.0,
51.0,99631.0,3.0,1354.92
51.0,136057.0,3.0,654.12
51.0,84052.0,2.0,688.58
51.0,,3.0,816.9300000000001
52.0,16461.0,,477.28
52.0,79633.0,2.0,669.08
52.0,50843.0,3.0,1221.78
52.0,86056.0,2.0,153.94
53.0,108994.0,1.0,164.31
53.0,87089.0,1.0,308.38
53.0,108180.0,1.0,328.46
53.0,60840.0,3.0,138.66
54.0,98665.0,3.0,1003.8000000000001
54.0,121994.0,2.0,250.26
,77267.0,3.0,332.1
55.0,,3.0,1069.17
55.0,81457.0,1.0,434.73
55.0,128969.0,2.0,848.38
55.0,,3.0,940.02
56.0,,1.0,169.0
56.0,68906.0,2.0,704.24
56.0,69910.0,1.0,148.71
57.0,126886.0,3.0,221.96999999999997
57.0,20795.0,3.0,1274.1299999999999
58.0,51.0,1.0,19.5
58.0,96344.0,3.0,693.63
59.0,15039.0,2.0,365.7
59.0,,3.0,344.61
60.0,17334.0,2.0,744.2
60.0,111107.0,3.0,974.46
61.0,135079.0,3.0,1385.43
61.0,148126.0,3.0,330.71999999999997
62.0,127742.0,,69.01
62.0,76703.0,1.0,254.39
,136421.0,3.0,602.0699999999999
63.0,119363.0,2.0,649.06
63.0,38907.0,3.0,305.15999999999997
63.0,79432.0,1.0,203.23
63.0,81254.0,1.0,454.42
63.0,137004.0,1.0,171.12
64.0,982.0,2.0,284.22
64.0,105992.0,3.0,815.8799999999999
64.0,79857.0,2.0,536.56
65.0,54845.0,1.0,62.41
,14256.0,3.0,718.5
66.0,76980.0,1.0,301.21
67.0,130925.0,3.0,272.25
67.0,103504.0,1.0,330.25
68.0,16689.0,1.0,402.17
69.0,33848.0,2.0,737.32
69.0,114622.0,3.0,1359.8700000000001
69.0,55797.0,2.0,816.58
69.0,58348.0,1.0,422.91
70.0,97043.0,3.0,871.4100000000001
70.0,132739.0,3.0,448.34999999999997
70.0,59915.0,2.0,425.78
,,3.0,1277.3700000000001
71.0,54070.0,3.0,947.94
72.0,33474.0,2.0,665.34
72.0,128806.0,2.0,625.94
73.0,22749.0,1.0,151.08
73.0,64234.0,3.0,1471.71
73.0,82415.0,1.0,430.41
73.0,129447.0,2.0,618.32
74.0,69908.0,3.0,531.3
74.0,79297.0,2.0,843.86
74.0,54889.0,1.0,334.11
75.0,66039.0,2.0,830.74
75.0,135275.0,2.0,929.04
75.0,145382.0,2.0,470.56
75.0,20108.0,,843.84
75.0,92357.0,1.0,477.56
76.0,74853.0,1.0,495.12
77.0,3885.0,1.0,239.03
77.0,78051.0,1.0,20.56
77.0,43769.0,3.0,591.75
77.0,35421.0,2.0,371.62
78.0,95422.0,3.0,1327.74
78.0,127685.0,2.0,375.88
78.0,118140.0,2.0,323.64
78.0,26348.0,2.0,832.44
78.0,98584.0,1.0,
79.0,83268.0,1.0,198.18
80.0,96404.0,3.0,954.99
81.0,28665.0,3.0,110.16
,77769.0,2.0,424.06
82.0,26885.0,3.0,877.53
82.0,50535.0,1.0,107.79
82.0,94906.0,2.0,184.86
82.0,149349.0,1.0,319.9
83.0,8129.0,1.0,161.0
83.0,93070.0,1.0,370.97
83.0,12940.0,2.0,693.8
83.0,87186.0,3.0,398.31000000000006
84.0,2463.0,3.0,57.510000000000005
84.0,53024.0,3.0,784.47
,102370.0,1.0,
,144925.0,2.0,537.72
85.0,74711.0,2.0,657.86
85.0,,1.0,348.81
86.0,123929.0,3.0,471.33000000000004
86.0,13919.0,2.0,330.42
86.0,5510.0,1.0,422.72
86.0,1678.0,1.0,
87.0,28476.0,1.0,
87.0,107127.0,1.0,424.19
87.0,25584.0,2.0,489.92
87.0,136016.0,3.0,237.78000000000003
88.0,1854.0,1.0,264.4
88.0,,2.0,886.88
89.0,29437.0,3.0,1398.6
89.0,71348.0,1.0,333.96
89.0,26241.0,2.0,451.62
89.0,136274.0,2.0,800.5
89.0,146202.0,1.0,159.89
90.0,79212.0,1.0,104.67
90.0,115906.0,2.0,705.12
91.0,67808.0,1.0,447.08
91.0,27408.0,2.0,813.72
91.0,36884.0,1.0,200.74
92.0,68482.0,1.0,341.27
92.0,48285.0,2.0,524.42
92.0,65091.0,2.0,164.64
92.0,101726.0,1.0,424.8
92.0,14185.0,1.0,
93.0,8167.0,1.0,141.58
93.0,125050.0,2.0,733.4
93.0,77727.0,3.0,1315.77
93.0,49306.0,2.0,41.36
93.0,29544.0,3.0,104.82
94.0,,1.0,245.5
95.0,110019.0,1.0,58.53
,98911.0,1.0,409.62
95.0,139132.0,1.0,29.22
95.0,137203.0,2.0,154.72
96.0,64320.0,3.0,1118.73
96.0,36532.0,3.0,753.75
96.0,118730.0,,
96.0,3861.0,1.0,114.62
97.0,35784.0,1.0,433.01
98.0,144068.0,2.0,969.08
98.0,140683.0,3.0,306.69
98.0,52295.0,3.0,112.97999999999999
99.0,103813.0,2.0,367.16
99.0,130392.0,3.0,210.95999999999998
99.0,51575.0,1.0,252.6
99.0,28707.0,2.0,80.8
100.0,143398.0,3.0,1350.51
101.0,894.0,1.0,86.51
101.0,40861.0,1.0,372.27
102.0,133454.0,3.0,1179.21
,144570.0,2.0,900.5
102.0,37749.0,2.0,
103.0,10865.0,3.0,1156.98
103.0,119247.0,2.0,152.34
103.0,97147.0,3.0,1139.01
103.0,69489.0,3.0,1406.25
103.0,26618.0,3.0,1288.53
104.0,2838.0,3.0,1193.46
105.0,112292.0,1.0,137.47
106.0,49654.0,2.0,503.62
,25821.0,3.0,900.39
107.0,139171.0,1.0,60.94
107.0,,1.0,210.98
108.0,26289.0,3.0,1199.6100000000001
,105391.0,1.0,355.29
109.0,4045.0,3.0,452.61
109.0,58887.0,3.0,551.16
110.0,23444.0,2.0,266.5
110.0,,,113.86
110.0,29342.0,1.0,419.18
110.0,98257.0,,29.21
111.0,,2.0,964.78
111.0,16110.0,2.0,720.74
111.0,106196.0,1.0,452.41
111.0,139116.0,2.0,105.44
111.0,139558.0,1.0,156.48
112.0,139392.0,1.0,239.53
113.0,58708.0,1.0,276.01
113.0,148298.0,,997.6500000000001
113.0,2702.0,3.0,1310.07
113.0,18760.0,2.0,84.52
114.0,41542.0,3.0,575.76
114.0,51114.0,3.0,870.54
115.0,39533.0,3.0,979.56
116.0,,1.0,473.71
116.0,12157.0,2.0,315.04
116.0,132267.0,3.0,694.59
116.0,,2.0,937.52
,78306.0,3.0,1440.78
