order_id,customer_id,order_date,order_status
1.0,680.0,2024-02-26,Pending
2.0,5219.0,2024-05-31,
3.0,9403.0,2024-07-02,Canceled
4.0,1685.0,2024-04-28,Sent
5.0,552.0,2024-03-17,Delivered
6.0,4963.0,2024-07-05,Pending
7.0,7355.0,2024-04-23,Canceled
8.0,6565.0,,Paid
9.0,2278.0,2024-06-30,Delivered
10.0,9309.0,2024-06-27,Paid
11.0,7535.0,2024-07-04,Delivered
12.0,7953.0,2024-04-13,Sent
13.0,7301.0,2024-01-05,Paid
14.0,8758.0,2024-05-31,Paid
15.0,9785.0,2024-03-10,Paid
16.0,3615.0,2024-07-25,Delivered
17.0,9279.0,2024-06-25,Pending
18.0,8913.0,2024-03-16,Delivered
19.0,2166.0,2024-07-19,Sent
20.0,2390.0,2024-04-26,Sent
21.0,2869.0,2024-01-29,Sent
22.0,5126.0,2024-03-14,Paid
23.0,2192.0,2024-03-17,Sent
24.0,1119.0,2024-05-22,Pending
25.0,1576.0,2024-01-24,Pending
26.0,2630.0,2024-03-03,Paid
27.0,5536.0,2024-01-23,Delivered
28.0,8618.0,2024-04-17,Paid
29.0,6091.0,2024-03-12,Paid
30.0,6346.0,2024-07-15,
31.0,1372.0,2024-01-25,Paid
32.0,6060.0,2024-03-01,Paid
33.0,3823.0,2024-04-28,Canceled
34.0,390.0,2024-05-18,Delivered
,6106.0,2024-01-08,Delivered
36.0,3797.0,2024-07-27,Paid
37.0,7660.0,2024-07-03,Sent
38.0,7913.0,2024-03-12,Sent
39.0,5409.0,2024-06-29,Pending
40.0,593.0,2024-02-26,Paid
41.0,7978.0,2024-05-22,Pending
42.0,9261.0,2024-04-14,Paid
43.0,4908.0,2024-03-09,Sent
44.0,6798.0,2024-04-18,Paid
45.0,3752.0,2024-06-21,Paid
46.0,,2024-05-22,Paid
47.0,3464.0,2024-07-19,Paid
48.0,4573.0,2024-04-01,Sent
49.0,5086.0,2024-03-25,Paid
50.0,1291.0,2024-02-03,Paid
51.0,1850.0,2024-04-15,Pending
52.0,8425.0,2024-03-08,Pending
53.0,5009.0,,Paid
54.0,7816.0,2024-04-10,Sent
55.0,1742.0,2024-06-21,Paid
56.0,1429.0,2024-02-28,Paid
57.0,6413.0,2024-01-05,Sent
58.0,,2024-02-20,Pending
59.0,8636.0,2024-01-02,Paid
60.0,2206.0,2024-04-25,Pending
61.0,8615.0,2024-06-20,Paid
62.0,5671.0,2024-01-26,Sent
63.0,1423.0,2024-04-20,Pending
64.0,4103.0,2024-04-03,Paid
65.0,2109.0,2024-04-14,Paid
66.0,6101.0,2024-06-12,Sent
67.0,4851.0,2024-07-13,Delivered
68.0,1782.0,2024-06-17,Paid
69.0,371.0,,Delivered
70.0,765.0,2024-04-15,Paid
71.0,3972.0,2024-02-27,Paid
72.0,6197.0,2024-07-27,Paid
73.0,6339.0,2024-01-26,Delivered
74.0,5748.0,2024-05-29,Delivered
75.0,570.0,2024-07-17,Delivered
76.0,6299.0,2024-06-18,Paid
77.0,1121.0,2024-03-02,Paid
78.0,6782.0,2024-03-04,Paid
79.0,556.0,2024-05-03,Delivered
80.0,9574.0,2024-02-10,Pending
81.0,4831.0,2024-05-16,Paid
82.0,8061.0,,Sent
83.0,6603.0,2024-01-31,Delivered
84.0,7826.0,2024-07-19,Paid
85.0,2297.0,2024-06-15,Paid
86.0,,2024-03-03,Sent
87.0,5916.0,2024-01-16,Pending
88.0,8936.0,2024-01-13,Delivered
89.0,9145.0,2024-06-04,Sent
90.0,6005.0,2024-06-08,Paid
91.0,921.0,2024-05-01,Delivered
,,2024-06-26,Pending
93.0,9398.0,2024-02-05,Canceled
94.0,8194.0,2024-03-08,Canceled
95.0,2868.0,2024-02-17,Delivered
,8580.0,2024-01-26,Sent
97.0,9726.0,2024-01-31,Sent
98.0,2413.0,2024-05-21,Pending
99.0,6051.0,2024-05-10,Pending
100.0,9596.0,2024-02-24,Sent
101.0,6407.0,2024-02-08,Paid
102.0,910.0,2024-07-20,Pending
103.0,1980.0,2024-05-20,Paid
104.0,2727.0,2024-01-17,
105.0,9970.0,2024-07-17,Sent
106.0,5149.0,2024-07-11,Paid
107.0,8865.0,2024-02-07,Delivered
108.0,8885.0,2024-03-21,Paid
109.0,7958.0,2024-06-16,Paid
110.0,3453.0,2024-03-20,Sent
,1103.0,2024-05-05,Paid
112.0,5196.0,2024-02-23,Pending
,7975.0,2024-02-10,Paid
114.0,7506.0,2024-05-12,Canceled
115.0,5146.0,2024-01-14,Delivered
116.0,3978.0,,Delivered
117.0,5946.0,2024-05-16,Paid
118.0,7389.0,2024-05-06,Pending
119.0,1811.0,2024-02-01,Paid
120.0,7462.0,2024-01-11,Sent
121.0,2911.0,2024-06-10,Delivered
122.0,7534.0,2024-04-10,Paid
123.0,3833.0,2024-06-21,Delivered
124.0,3113.0,2024-07-19,Pending
125.0,1251.0,2024-05-01,Canceled
126.0,2931.0,2024-02-19,Sent
127.0,8262.0,2024-03-07,Paid
128.0,6471.0,2024-03-24,Delivered
129.0,1801.0,2024-02-17,Paid
130.0,9220.0,,Paid
,8924.0,2024-03-27,Paid
132.0,8924.0,,Paid
133.0,,2024-06-30,Pending
134.0,5489.0,2024-05-20,Paid
,3932.0,2024-02-13,Paid
136.0,6683.0,,Delivered
137.0,282.0,2024-06-05,Pending
138.0,6411.0,2024-05-12,Paid
139.0,211.0,2024-06-25,Pending
140.0,1473.0,2024-01-04,Paid
141.0,4658.0,2024-03-27,Paid
142.0,8864.0,2024-02-14,Paid
143.0,4152.0,2024-05-12,Delivered
144.0,4438.0,2024-07-27,Paid
145.0,5866.0,2024-04-30,Delivered
146.0,7685.0,2024-03-01,Paid
147.0,5879.0,2024-02-08,Pending
148.0,9587.0,2024-05-17,Paid
149.0,3409.0,2024-04-25,Canceled
150.0,9916.0,2024-01-09,Paid
151.0,6034.0,2024-01-12,Paid
152.0,9166.0,2024-04-12,Paid
153.0,7989.0,2024-04-30,Paid
154.0,8740.0,2024-06-09,Paid
155.0,1153.0,2024-07-03,Paid
156.0,,2024-01-25,Paid
157.0,2711.0,,Paid
158.0,9221.0,2024-04-18,Paid
159.0,1278.0,2024-07-20,Pending
160.0,6110.0,2024-01-23,Sent
161.0,6602.0,2024-03-21,
162.0,5135.0,2024-06-06,Paid
,4592.0,2024-04-26,Paid
164.0,3424.0,2024-04-03,
165.0,3538.0,2024-01-10,Sent
166.0,3269.0,2024-05-26,Canceled
167.0,1091.0,,Paid
168.0,2426.0,2024-07-20,Pending
169.0,1921.0,,Delivered
170.0,4286.0,2024-04-09,Delivered
171.0,5285.0,,Paid
172.0,267.0,2024-04-03,Delivered
173.0,6841.0,2024-02-06,Pending
174.0,9649.0,2024-02-08,Paid
175.0,8699.0,2024-05-28,Delivered
176.0,,,Sent
177.0,6435.0,2024-05-31,Pending
178.0,8055.0,2024-03-18,Pending
179.0,3378.0,2024-03-11,Paid
180.0,4659.0,2024-01-14,Sent
181.0,3682.0,2024-01-02,Delivered
182.0,2229.0,2024-05-22,Paid
183.0,6686.0,2024-05-29,
184.0,737.0,2024-01-08,Paid
185.0,2012.0,2024-03-09,Paid
186.0,434.0,2024-05-23,Paid
187.0,9774.0,2024-03-17,Delivered
188.0,4843.0,2024-04-23,Delivered
189.0,8538.0,2024-04-29,Paid
190.0,591.0,2024-01-29,Pending
191.0,4400.0,2024-01-07,Paid
192.0,6603.0,,Sent
193.0,5734.0,2024-07-15,Paid
194.0,7455.0,2024-07-23,Delivered
195.0,9239.0,2024-06-29,Delivered
196.0,2810.0,2024-02-08,Paid
197.0,8670.0,2024-02-14,Paid
198.0,1778.0,2024-03-11,Sent
199.0,9817.0,2024-03-18,Pending
200.0,,2024-02-28,Paid
201.0,3427.0,2024-05-06,Paid
202.0,1955.0,2024-06-18,Paid
203.0,351.0,2024-06-22,Sent
204.0,9273.0,2024-07-06,Paid
205.0,594.0,2024-03-02,Paid
206.0,5749.0,2024-05-17,Canceled
207.0,6482.0,2024-03-19,Pending
208.0,7670.0,2024-01-24,Paid
209.0,5442.0,2024-06-10,Paid
210.0,8104.0,2024-07-24,Paid
211.0,9120.0,2024-06-01,Paid
212.0,8568.0,2024-06-15,Canceled
213.0,4223.0,2024-01-02,Paid
214.0,7203.0,2024-01-20,Paid
215.0,3548.0,2024-07-04,Delivered
216.0,1337.0,2024-06-20,Paid
217.0,6365.0,2024-07-03,Paid
218.0,3099.0,2024-02-19,Sent
219.0,2921.0,2024-07-23,Sent
,3918.0,2024-01-30,Sent
221.0,1209.0,2024-05-20,Sent
222.0,,2024-02-25,Pending
,8048.0,2024-02-21,Sent
224.0,1459.0,2024-07-11,Delivered
,8094.0,,Delivered
226.0,2020.0,2024-06-03,Paid
227.0,88.0,2024-07-18,Paid
228.0,6025.0,2024-07-06,Paid
229.0,8955.0,2024-07-17,Sent
230.0,188.0,,Delivered
231.0,6497.0,2024-04-24,Delivered
232.0,3358.0,2024-03-08,Sent
233.0,3258.0,2024-02-16,Pending
234.0,3885.0,2024-06-10,Pending
235.0,9896.0,2024-03-23,Paid
236.0,6663.0,2024-05-15,Paid
237.0,9702.0,2024-05-14,Paid
238.0,1458.0,2024-05-30,Delivered
239.0,6863.0,,Sent
240.0,2642.0,2024-05-01,Canceled
241.0,7309.0,2024-05-23,Paid
,2295.0,2024-07-24,Paid
243.0,516.0,2024-03-05,Sent
244.0,4985.0,2024-05-17,Delivered
245.0,8712.0,2024-03-02,Paid
246.0,6961.0,2024-01-15,Delivered
247.0,9963.0,2024-01-03,Delivered
248.0,4562.0,2024-07-12,Sent
249.0,8370.0,2024-01-10,Paid
250.0,109.0,2024-01-10,Sent
251.0,1697.0,2024-02-07,Paid
252.0,7777.0,2024-02-16,Pending
253.0,7506.0,2024-01-25,Paid
254.0,555.0,2024-05-24,Delivered
255.0,441.0,2024-06-11,Delivered
256.0,804.0,2024-05-07,Paid
257.0,1510.0,2024-04-08,Delivered
258.0,6556.0,2024-05-19,Paid
259.0,7848.0,2024-04-05,Delivered
260.0,8163.0,2024-01-12,Pending
261.0,7370.0,2024-06-18,Sent
262.0,4347.0,2024-03-25,Paid
263.0,7902.0,2024-03-21,Delivered
264.0,2034.0,2024-02-16,Delivered
265.0,2966.0,2024-07-23,Paid
266.0,5209.0,2024-06-04,Sent
267.0,5075.0,,Sent
,855.0,2024-07-26,Paid
269.0,5422.0,2024-01-03,Sent
270.0,759.0,2024-03-08,Paid
271.0,6915.0,,Delivered
272.0,1865.0,,Pending
273.0,,2024-01-08,Paid
274.0,,2024-02-02,Canceled
275.0,6263.0,2024-01-22,Paid
276.0,8668.0,2024-03-26,Paid
277.0,9633.0,2024-05-05,Sent
278.0,3730.0,2024-01-29,Paid
279.0,830.0,2024-04-23,Delivered
280.0,4867.0,2024-06-05,Canceled
,7735.0,2024-02-10,Pending
282.0,6772.0,2024-03-02,Pending
283.0,1008.0,2024-02-13,Delivered
284.0,8372.0,2024-04-24,Paid
285.0,8673.0,2024-06-29,Sent
286.0,1470.0,,Delivered
287.0,3540.0,2024-02-05,Sent
288.0,439.0,2024-07-12,Delivered
289.0,3134.0,2024-06-15,Pending
290.0,370.0,2024-04-01,Delivered
291.0,4870.0,2024-01-18,Delivered
292.0,8911.0,2024-07-22,Paid
293.0,180.0,2024-04-01,Paid
294.0,,2024-02-29,Delivered
295.0,4517.0,2024-06-02,Paid
296.0,1684.0,2024-03-06,Sent
297.0,7500.0,2024-02-09,Paid
298.0,9896.0,2024-03-26,Delivered
299.0,3898.0,2024-04-27,Paid
300.0,,2024-06-05,Paid
301.0,5625.0,2024-07-22,Paid
302.0,6601.0,2024-06-09,Sent
303.0,5094.0,2024-06-17,Delivered
304.0,3604.0,2024-05-20,Pending
305.0,3883.0,2024-02-08,Pending
306.0,1353.0,2024-06-06,Delivered
307.0,4910.0,2024-01-16,Pending
308.0,1782.0,,Sent
309.0,7282.0,,Pending
,4918.0,2024-02-29,Delivered
311.0,5145.0,2024-02-02,Delivered
312.0,6985.0,2024-02-13,Pending
313.0,3837.0,2024-05-14,Pending
314.0,469.0,2024-06-27,Pending
315.0,4741.0,2024-06-28,
316.0,2808.0,2024-06-08,Paid
317.0,1307.0,2024-04-14,Paid
318.0,576.0,2024-07-24,Delivered
319.0,2450.0,2024-03-22,Paid
320.0,9294.0,2024-05-28,Canceled
321.0,4700.0,2024-03-09,Paid
322.0,6212.0,2024-05-28,Sent
323.0,5126.0,2024-01-28,Paid
324.0,4888.0,2024-06-28,Paid
325.0,4201.0,2024-05-19,Paid
326.0,1046.0,,Paid
327.0,7975.0,2024-06-12,Paid
,9919.0,2024-05-16,
329.0,1981.0,2024-01-31,Delivered
330.0,5386.0,2024-01-30,Delivered
331.0,418.0,2024-01-20,Sent
332.0,6273.0,2024-01-20,Paid
333.0,7986.0,2024-05-26,Delivered
334.0,8311.0,2024-04-27,Pending
335.0,,2024-06-18,Paid
336.0,4873.0,2024-01-29,Paid
337.0,8090.0,2024-05-21,Delivered
338.0,6870.0,2024-06-11,Paid
339.0,3134.0,2024-01-09,Paid
340.0,,2024-03-04,Canceled
341.0,9558.0,2024-05-12,Pending
342.0,5872.0,2024-02-28,Delivered
343.0,3616.0,,Sent
344.0,1605.0,2024-04-29,Paid
345.0,6643.0,2024-05-29,Delivered
346.0,2606.0,2024-04-22,Delivered
347.0,4736.0,2024-04-24,Paid
348.0,4999.0,2024-07-14,Delivered
349.0,1592.0,2024-04-15,Paid
350.0,2055.0,,Paid
351.0,9810.0,2024-05-18,Pending
352.0,7943.0,2024-04-08,Paid
353.0,325.0,2024-07-24,Paid
354.0,7742.0,,Paid
355.0,9298.0,2024-03-30,Paid
356.0,8390.0,2024-04-03,Sent
357.0,4860.0,2024-06-14,Paid
358.0,8099.0,2024-07-18,Paid
359.0,,2024-05-25,Sent
360.0,975.0,2024-03-12,Paid
361.0,7628.0,2024-02-02,Pending
362.0,5426.0,2024-03-10,Paid
363.0,2128.0,2024-04-03,Paid
364.0,8218.0,2024-01-18,Delivered
,565.0,2024-04-17,Pending
366.0,1738.0,2024-03-25,Pending
367.0,,2024-04-18,Pending
368.0,2848.0,2024-05-03,
369.0,156.0,2024-04-27,Paid
370.0,956.0,2024-06-23,Paid
371.0,4202.0,2024-07-13,Paid
372.0,1107.0,2024-02-02,Sent
373.0,8931.0,2024-02-11,Sent
374.0,2862.0,2024-01-04,Paid
375.0,7562.0,2024-01-13,Sent
376.0,6144.0,,Paid
377.0,7163.0,2024-04-03,Delivered
378.0,5430.0,2024-07-22,Paid
379.0,8076.0,2024-02-19,Sent
380.0,273.0,2024-03-20,Sent
381.0,8458.0,2024-06-12,Delivered
382.0,7336.0,2024-02-21,Paid
383.0,6385.0,2024-01-12,Paid
384.0,3959.0,2024-02-07,Pending
385.0,7081.0,2024-07-17,Pending
386.0,7349.0,2024-05-13,Pending
387.0,7402.0,2024-02-27,Paid
388.0,8553.0,2024-07-07,Sent
389.0,7565.0,2024-06-02,Paid
390.0,6860.0,2024-06-20,Paid
391.0,5180.0,2024-04-09,Paid
392.0,7965.0,2024-03-09,Delivered
393.0,7284.0,2024-01-13,Paid
394.0,5366.0,2024-05-11,Pending
395.0,5296.0,2024-03-27,Delivered
396.0,6499.0,2024-04-08,Sent
397.0,9374.0,2024-01-05,Paid
398.0,8722.0,2024-07-22,Paid
399.0,1199.0,2024-05-13,Delivered
400.0,7354.0,2024-06-27,Canceled
401.0,3557.0,2024-04-02,Delivered
402.0,1175.0,2024-06-12,Delivered
403.0,1518.0,2024-01-04,Delivered
404.0,1061.0,2024-02-05,Sent
405.0,2421.0,2024-07-23,Sent
406.0,2028.0,2024-05-19,Delivered
407.0,4804.0,2024-05-24,Delivered
408.0,2961.0,2024-05-21,Paid
409.0,,2024-05-12,Pending
410.0,8608.0,2024-02-07,Paid
411.0,5401.0,2024-01-20,Sent
412.0,1253.0,2024-02-28,Delivered
413.0,9190.0,,Delivered
414.0,6150.0,2024-02-26,Sent
415.0,,2024-04-09,Sent
416.0,8086.0,2024-02-03,Paid
417.0,6164.0,2024-02-12,Paid
418.0,9838.0,2024-03-22,Pending
419.0,2028.0,2024-05-15,Delivered
420.0,960.0,2024-03-02,Paid
421.0,9868.0,2024-04-29,Sent
,8243.0,2024-01-16,Pending
423.0,9072.0,2024-02-10,Pending
424.0,1287.0,2024-06-12,Pending
425.0,592.0,2024-06-11,Paid
426.0,4324.0,2024-01-22,Delivered
427.0,2305.0,2024-06-14,Paid
428.0,3954.0,2024-07-12,Pending
429.0,2156.0,2024-05-24,Delivered
430.0,8958.0,,Paid
431.0,7026.0,,Delivered
432.0,5299.0,2024-03-22,Paid
433.0,3900.0,2024-02-02,Paid
434.0,7870.0,2024-05-05,Paid
,6615.0,2024-05-03,Delivered
436.0,1296.0,2024-02-27,Pending
437.0,8196.0,2024-02-07,Sent
438.0,1391.0,2024-04-10,Canceled
439.0,1741.0,2024-04-03,Delivered
440.0,1296.0,2024-05-04,Delivered
441.0,6479.0,2024-04-07,Delivered
442.0,9583.0,2024-05-13,Sent
443.0,8685.0,2024-05-06,Pending
444.0,3550.0,2024-07-13,Paid
,3593.0,2024-07-01,Sent
446.0,8519.0,2024-01-13,Delivered
447.0,6156.0,2024-02-25,Paid
448.0,1762.0,2024-04-09,Delivered
449.0,1151.0,2024-03-10,Paid
450.0,7101.0,2024-04-13,Paid
451.0,2207.0,2024-05-24,Delivered
452.0,2483.0,2024-03-09,Paid
453.0,6507.0,2024-05-29,Paid
454.0,7661.0,2024-02-23,Pending
455.0,663.0,2024-02-03,Pending
