payment_id,order_id,payment_method,amount_paid,payment_date
1.0,4.0,,1309.76,2024-07-22
2.0,5.0,,1477.49,2024-06-07
3.0,8.0,Cash,1438.3600000000001,2024-07-26
4.0,9.0,Credit Card,1977.91,2024-07-05
5.0,10.0,Credit Card,1416.3300000000002,2024-07-16
6.0,,Credit Card,2275.33,2024-07-13
7.0,12.0,Bank Transfer,1337.1100000000001,2024-07-26
8.0,13.0,Credit Card,1002.8999999999999,2024-02-22
9.0,14.0,Cash,,2024-06-08
10.0,15.0,Credit Card,1699.9099999999999,2024-05-01
,16.0,Cash,1265.5700000000002,2024-07-28
12.0,18.0,Cash,2208.9900000000002,2024-04-25
13.0,19.0,Credit Card,618.0699999999999,2024-07-23
14.0,20.0,Bank Transfer,3002.83,2024-06-10
15.0,21.0,Credit Card,998.74,2024-04-28
16.0,22.0,Credit Card,1863.5900000000001,2024-05-20
17.0,23.0,Credit Card,2878.2,2024-06-01
18.0,26.0,Cash,895.22,2024-07-08
19.0,27.0,Credit Card,2057.08,2024-06-01
20.0,,Bank Transfer,973.4100000000001,2024-06-03
21.0,29.0,Cash,1752.92,2024-04-26
22.0,30.0,Bank Transfer,2221.26,2024-07-27
23.0,31.0,Credit Card,1887.06,2024-03-24
24.0,32.0,Bank Transfer,1694.31,2024-04-18
25.0,34.0,Credit Card,721.08,2024-06-15
26.0,35.0,Cash,2236.03,2024-02-20
27.0,36.0,Bank Transfer,2561.0299999999997,2024-07-28
28.0,37.0,Cash,2109.52,2024-07-05
29.0,38.0,Credit Card,3708.05,2024-03-18
30.0,40.0,Credit Card,925.7,2024-02-29
31.0,42.0,Credit Card,2317.16,2024-06-24
32.0,43.0,Cash,,2024-07-22
33.0,44.0,Cash,1856.8500000000001,2024-05-23
,45.0,Bank Transfer,4110.84,2024-06-30
35.0,46.0,Cash,1346.6399999999999,2024-07-02
36.0,47.0,Credit Card,219.97,2024-07-19
37.0,48.0,Bank Transfer,1939.2,2024-06-10
38.0,49.0,Credit Card,694.64,2024-06-02
39.0,50.0,Credit Card,1990.4300000000003,2024-05-24
40.0,53.0,Cash,939.81,2024-07-17
41.0,54.0,Credit Card,1586.1599999999999,2024-07-05
,55.0,Bank Transfer,3292.3,2024-07-04
43.0,56.0,Credit Card,1021.95,2024-05-10
44.0,57.0,Cash,1496.1,2024-02-13
45.0,59.0,Bank Transfer,710.31,2024-06-19
46.0,61.0,Cash,1716.15,2024-07-27
47.0,62.0,Cash,925.4699999999999,2024-03-14
48.0,64.0,Cash,1636.6599999999999,2024-04-25
49.0,65.0,Credit Card,62.41,2024-04-26
50.0,66.0,PayPal,1019.71,2024-06-22
51.0,67.0,Cash,602.5,2024-07-21
52.0,68.0,Bank Transfer,402.17,2024-06-30
53.0,69.0,Credit Card,3336.68,2024-03-09
54.0,70.0,Credit Card,,2024-07-20
55.0,71.0,Credit Card,947.94,2024-07-22
56.0,72.0,Credit Card,1291.2800000000002,2024-07-27
57.0,73.0,Cash,2671.52,2024-05-04
58.0,74.0,Cash,1709.27,2024-06-23
59.0,75.0,Bank Transfer,3551.7400000000002,2024-07-21
60.0,76.0,Cash,495.12,2024-06-24
61.0,77.0,Bank Transfer,1222.96,2024-05-17
62.0,78.0,Credit Card,3264.81,2024-07-19
63.0,79.0,Credit Card,198.18,2024-06-13
64.0,81.0,Bank Transfer,534.22,2024-07-22
65.0,82.0,Credit Card,1490.08,2024-07-13
66.0,83.0,Bank Transfer,1624.08,2024-02-20
67.0,84.0,Credit Card,1813.1200000000001,2024-07-20
68.0,85.0,Credit Card,1006.6700000000001,2024-07-16
69.0,86.0,Credit Card,1383.47,2024-04-23
70.0,88.0,Bank Transfer,1151.28,2024-03-22
71.0,89.0,PayPal,3144.5699999999997,2024-06-16
72.0,90.0,Credit Card,809.79,2024-07-03
73.0,91.0,Credit Card,1461.54,2024-07-21
74.0,95.0,Credit Card,652.09,2024-07-12
75.0,96.0,Credit Card,2581.18,2024-06-27
76.0,97.0,Credit Card,433.01,2024-02-19
77.0,100.0,Cash,1350.51,2024-03-16
78.0,101.0,Bank Transfer,458.78,2024-05-30
79.0,103.0,Credit Card,,2024-06-24
80.0,105.0,Credit Card,,2024-07-25
81.0,106.0,Credit Card,503.62,2024-07-27
82.0,107.0,Cash,1172.31,2024-04-22
83.0,108.0,Credit Card,1554.9,2024-06-28
84.0,109.0,Credit Card,1003.77,2024-07-20
85.0,110.0,Cash,828.75,2024-07-18
86.0,111.0,,,2024-06-06
,113.0,Credit Card,2668.25,2024-06-01
88.0,115.0,Credit Card,979.56,2024-03-10
89.0,116.0,Credit Card,2420.86,2024-05-03
90.0,,Cash,1706.06,2024-06-07
91.0,119.0,Bank Transfer,1093.84,2024-07-16
92.0,120.0,PayPal,1154.65,2024-07-01
93.0,121.0,Cash,1036.04,2024-06-19
94.0,122.0,Bank Transfer,2752.8799999999997,2024-06-18
95.0,,PayPal,1152.34,2024-07-04
96.0,,Credit Card,1066.62,2024-04-21
97.0,127.0,Bank Transfer,1434.3000000000002,2024-03-27
98.0,128.0,Credit Card,494.13,2024-04-03
99.0,129.0,Bank Transfer,1287.94,2024-07-01
100.0,130.0,Bank Transfer,2549.25,2024-06-04
101.0,131.0,Credit Card,,2024-04-11
102.0,132.0,Cash,1237.1599999999999,2024-02-25
103.0,134.0,Cash,1138.1399999999999,2024-06-30
104.0,135.0,Credit Card,955.5799999999999,2024-04-02
105.0,136.0,Bank Transfer,188.46,2024-07-10
106.0,138.0,Bank Transfer,1949.74,2024-05-23
107.0,140.0,Credit Card,704.3599999999999,2024-07-06
108.0,141.0,Credit Card,1219.0900000000001,2024-05-14
109.0,142.0,Credit Card,1759.22,2024-07-06
110.0,143.0,,3258.8500000000004,2024-05-12
111.0,144.0,Cash,1984.56,2024-07-27
112.0,145.0,Credit Card,1079.46,2024-04-30
,146.0,Credit Card,2025.8,2024-06-11
,148.0,Credit Card,1997.94,2024-05-17
115.0,150.0,Cash,2456.5299999999997,2024-04-07
116.0,,Credit Card,752.23,2024-03-20
117.0,152.0,Bank Transfer,820.36,2024-07-07
118.0,153.0,Bank Transfer,852.01,2024-06-02
119.0,154.0,Bank Transfer,305.49,2024-07-25
120.0,155.0,Bank Transfer,,2024-07-04
121.0,156.0,Credit Card,1169.46,2024-03-11
122.0,157.0,Credit Card,2352.1400000000003,
123.0,158.0,,1743.21,2024-07-09
124.0,160.0,Cash,234.35000000000002,2024-05-01
125.0,162.0,Cash,,2024-07-26
126.0,163.0,Credit Card,476.42,2024-07-01
127.0,164.0,Credit Card,1402.95,2024-06-17
128.0,165.0,Credit Card,3015.57,2024-03-17
,167.0,,431.52,2024-07-17
130.0,169.0,Credit Card,2899.0499999999997,2024-06-02
131.0,,Credit Card,2822.1800000000003,2024-06-21
132.0,171.0,Bank Transfer,1316.4,2024-04-15
133.0,172.0,Credit Card,2953.8100000000004,2024-04-15
134.0,174.0,Cash,1937.3000000000002,2024-02-25
135.0,175.0,Cash,2297.85,2024-07-17
136.0,,Credit Card,1164.69,2024-06-21
137.0,,Bank Transfer,1498.8000000000002,2024-06-30
138.0,180.0,PayPal,2175.9,2024-03-28
139.0,181.0,Cash,715.52,2024-02-24
140.0,182.0,Credit Card,766.5999999999999,2024-07-17
141.0,183.0,Cash,1233.39,2024-07-06
142.0,184.0,Cash,2831.98,2024-04-16
143.0,185.0,Credit Card,468.80999999999995,2024-06-19
144.0,186.0,PayPal,4408.41,2024-07-15
145.0,187.0,Credit Card,602.04,2024-06-23
,,Cash,90.96,2024-06-04
147.0,,Cash,1633.38,2024-05-27
148.0,191.0,Credit Card,748.9,2024-01-16
149.0,192.0,Credit Card,839.44,2024-05-18
150.0,193.0,Cash,367.84,2024-07-20
151.0,194.0,Credit Card,2501.64,2024-07-25
152.0,195.0,Bank Transfer,899.8199999999999,2024-07-26
153.0,196.0,Credit Card,1738.11,2024-07-24
154.0,197.0,Cash,1363.22,2024-06-30
155.0,,PayPal,1506.0,2024-05-04
156.0,200.0,Cash,234.29,2024-07-21
157.0,201.0,Credit Card,2937.2400000000002,2024-06-08
158.0,202.0,Credit Card,1291.09,2024-06-27
159.0,203.0,Cash,2091.23,
160.0,204.0,Credit Card,1324.3000000000002,2024-07-14
161.0,205.0,Credit Card,1004.22,2024-06-22
162.0,208.0,Cash,4317.99,2024-02-07
163.0,209.0,Cash,1815.41,2024-07-27
164.0,210.0,Credit Card,1368.9,2024-07-26
